track_id,display_label,jersey_number,player_name,face_cluster,frames_tracked,max_speed_kmh,avg_speed_kmh
21,ID 21,,,,110,36.1,30.1
813,#21,21,,,110,41.8,27.4
894,ID 894,,,,81,42.0,38.9
952,ID 952,,,,77,33.8,26.5
711,#4,4,,,69,42.0,7.7
236,ID 236,,,,69,39.1,35.4
247,#4,4,,,67,29.0,29.0
1105,ID 1105,,,,60,42.0,17.8
1049,ID 1049,,,,60,42.0,30.8
883,ID 883,,,,59,42.0,10.5
880,ID 880,,,,56,42.0,19.0
924,#4,4,,,55,39.6,39.6
248,ID 248,,,,55,33.7,8.4
888,#4,4,,,53,42.0,10.4
878,ID 878,,,,52,42.0,21.7
40,ID 40,,,,51,42.0,40.6
178,ID 178,,,,50,13.3,12.8
73,#1,1,,,50,42.0,24.0
945,ID 945,,,,50,42.0,35.6
891,ID 891,,,,48,40.4,19.1
91,ID 91,,,,48,42.0,39.5
250,#8,8,JADEJA,,46,38.6,34.2
113,ID 113,,,,46,42.0,21.0
895,ID 895,,,,45,29.2,16.3
200,ID 200,,,,45,39.0,20.8
186,ID 186,,,,44,42.0,9.7
904,ID 904,,,,43,15.3,10.3
3,ID 3,,,,43,33.4,33.4
435,ID 435,,,,42,42.0,24.8
74,ID 74,,,,40,24.1,24.1
119,ID 119,,,,40,41.1,33.7
750,#7,7,THAALA,,40,42.0,27.5
691,ID 691,,,,39,42.0,33.5
34,ID 34,,,,38,27.9,15.9
35,ID 35,,,,38,35.1,11.8
36,ID 36,,,,38,31.9,11.1
37,ID 37,,,,38,23.5,11.5
403,ID 403,,,,38,42.0,20.5
717,ID 717,,,,37,28.5,23.3
960,ID 960,,,,34,32.8,30.4
1103,ID 1103,,,,34,34.6,34.6
197,ID 197,,,,33,24.3,11.6
432,ID 432,,,,33,42.0,35.5
33,ID 33,,,,32,30.5,22.8
893,ID 893,,,,31,42.0,16.8
905,ID 905,,,,31,27.4,25.1
936,ID 936,,,,31,32.4,32.4
190,ID 190,,,,30,42.0,3.9
693,ID 693,,,,29,42.0,31.5
938,ID 938,,,,29,34.8,32.9
943,ID 943,,,,28,42.0,19.1
4,ID 4,,,,28,30.3,30.1
937,ID 937,,,,28,24.3,24.3
901,ID 901,,,,27,32.3,23.1
399,ID 399,,,,27,42.0,40.5
20,ID 20,,,,27,42.0,18.5
5,ID 5,,,,26,26.2,26.2
830,ID 830,,,,26,42.0,31.6
619,ID 619,,,,26,31.5,31.5
162,ID 162,,,,26,33.1,31.8
822,ID 822,,,,26,42.0,37.4
584,ID 584,,,,26,42.0,19.0
770,ID 770,,,,26,42.0,35.0
144,ID 144,,,,25,35.2,33.6
618,ID 618,,,,25,36.0,29.4
138,ID 138,,,,25,39.7,36.0
617,ID 617,,,,25,29.2,29.2
38,ID 38,,,,24,40.0,19.9
1101,ID 1101,,,,24,33.6,23.4
844,ID 844,,,,24,42.0,37.9
843,ID 843,,,,24,42.0,30.9
826,ID 826,,,,24,42.0,35.3
899,ID 899,,,,23,24.4,24.4
772,ID 772,,,,23,42.0,31.1
828,ID 828,,,,23,40.8,36.4
731,ID 731,,,,22,28.0,26.9
730,ID 730,,,,22,25.5,25.5
2,ID 2,,,,22,31.6,31.6
965,ID 965,,,,21,32.2,30.9
644,ID 644,,,,21,42.0,33.9
777,ID 777,,,,21,42.0,37.4
728,ID 728,,,,21,31.7,31.6
1093,ID 1093,,,,20,42.0,34.9
477,ID 477,,,,20,42.0,34.2
961,ID 961,,,,20,33.5,31.2
984,ID 984,,,,20,35.1,31.8
906,#5,5,,,20,20.4,16.5
72,ID 72,,,,20,42.0,42.0
1,ID 1,,,,19,27.9,27.9
32,ID 32,,,,19,37.6,36.7
754,ID 754,,,,19,42.0,42.0
866,ID 866,,,,19,37.5,37.5
452,ID 452,,,,19,42.0,41.9
163,ID 163,,,,19,36.4,31.7
668,ID 668,,,,19,37.9,33.1
360,ID 360,,,,19,31.1,29.1
982,ID 982,,,,18,37.7,22.6
71,ID 71,,,,18,42.0,35.0
361,ID 361,,,,18,39.9,35.0
729,ID 729,,,,18,32.5,32.5
401,ID 401,,,,17,42.0,42.0
134,ID 134,,,,16,42.0,34.9
922,ID 922,,,,16,42.0,19.4
962,#4,4,,,16,35.3,35.3
363,ID 363,,,,16,28.8,23.0
1081,ID 1081,,,,15,42.0,33.3
362,ID 362,,,,15,41.9,41.7
784,ID 784,,,,15,42.0,28.8
963,ID 963,,,,15,42.0,35.7
856,ID 856,,,,15,42.0,29.3
981,ID 981,,,,15,33.2,33.2
478,ID 478,,,,15,29.2,27.1
7,ID 7,,,,15,40.9,40.9
433,ID 433,,,,15,42.0,38.0
652,ID 652,,,,14,19.5,17.4
727,ID 727,,,,14,35.6,35.6
669,ID 669,,,,14,38.7,38.7
657,ID 657,,,,14,31.9,31.9
117,ID 117,,,,14,41.3,41.3
974,ID 974,,,,14,42.0,42.0
1094,ID 1094,,,,14,42.0,23.1
653,ID 653,,,,14,22.1,22.1
655,ID 655,,,,14,33.4,33.4
656,ID 656,,,,14,36.9,36.9
31,ID 31,,,,13,39.3,39.3
953,ID 953,,,,13,30.2,30.2
1083,ID 1083,,,,13,41.0,36.1
930,ID 930,,,,13,7.1,6.5
1085,ID 1085,,,,13,31.9,25.3
1084,ID 1084,,,,13,42.0,42.0
660,ID 660,,,,13,26.8,25.7
659,ID 659,,,,13,22.9,22.9
662,ID 662,,,,13,27.1,20.4
232,ID 232,,,,13,22.7,22.3
664,ID 664,,,,13,22.1,19.9
663,ID 663,,,,13,22.6,18.7
658,ID 658,,,,13,26.4,26.4
661,ID 661,,,,13,18.3,15.1
476,ID 476,,,,13,42.0,34.4
651,ID 651,,,,13,25.9,25.9
455,ID 455,,,,13,42.0,37.1
438,ID 438,,,,13,42.0,38.0
9,#0,0,,,13,40.0,40.0
8,ID 8,,,,13,41.2,41.2
77,ID 77,,,,12,42.0,39.6
76,ID 76,,,,12,25.1,23.1
473,ID 473,,,,12,19.7,19.7
964,#1,1,,,12,36.5,36.5
1102,ID 1102,,,,12,34.5,34.5
126,ID 126,,,,12,42.0,38.9
698,ID 698,,,,12,42.0,37.0
654,ID 654,,,,12,36.1,36.1
786,ID 786,,,,12,42.0,37.4
485,ID 485,,,,11,24.7,24.7
506,ID 506,,,,11,42.0,42.0
467,ID 467,,,,11,42.0,35.1
1082,ID 1082,,,,11,42.0,41.3
359,ID 359,,,,11,41.9,41.4
767,ID 767,,,,11,42.0,41.7
110,ID 110,,,,11,42.0,35.2
753,ID 753,,,,11,42.0,42.0
751,ID 751,,,,11,42.0,42.0
339,ID 339,,,,11,33.8,31.1
241,ID 241,,,,11,42.0,39.1
457,ID 457,,,,10,42.0,39.0
104,ID 104,,,,10,42.0,25.3
75,#0,0,,,10,38.7,38.7
125,ID 125,,,,10,42.0,42.0
870,ID 870,,,,10,42.0,37.9
343,ID 343,,,,10,35.8,23.7
345,ID 345,,,,10,22.5,17.0
165,ID 165,,,,10,40.7,38.4
667,ID 667,,,,10,42.0,35.6
769,ID 769,,,,10,42.0,42.0
776,ID 776,,,,10,42.0,37.2
783,ID 783,,,,10,39.9,33.2
341,ID 341,,,,10,18.7,7.5
791,ID 791,,,,9,31.5,22.7
832,ID 832,,,,9,42.0,42.0
92,ID 92,,,,9,40.3,40.3
746,ID 746,,,,9,42.0,42.0
498,ID 498,,,,9,38.3,38.3
30,ID 30,,,,9,42.0,34.8
29,ID 29,,,,9,29.7,29.7
10,ID 10,,,,9,42.0,42.0
11,ID 11,,,,8,42.0,42.0
442,ID 442,,,,8,42.0,38.1
122,ID 122,,,,8,41.3,41.3
340,ID 340,,,,8,29.5,25.2
1052,ID 1052,,,,8,42.0,42.0
406,ID 406,,,,8,42.0,35.3
172,ID 172,,,,8,42.0,42.0
743,ID 743,,,,8,42.0,42.0
647,ID 647,,,,8,42.0,42.0
171,ID 171,,,,8,42.0,42.0
170,ID 170,,,,8,26.3,16.0
169,ID 169,,,,8,40.3,39.8
168,ID 168,,,,8,28.6,19.1
342,ID 342,,,,8,34.5,33.8
164,ID 164,,,,8,25.8,18.0
228,ID 228,,,,8,18.0,18.0
161,ID 161,,,,8,40.6,40.6
471,ID 471,,,,7,28.9,22.9
1053,ID 1053,,,,7,42.0,42.0
443,ID 443,,,,7,42.0,39.4
253,ID 253,,,,7,42.0,42.0
760,ID 760,,,,7,42.0,42.0
1054,ID 1054,,,,7,42.0,42.0
951,ID 951,,,,7,42.0,37.0
913,ID 913,,,,7,42.0,21.3
840,ID 840,,,,7,36.8,36.8
242,ID 242,,,,7,42.0,30.1
414,ID 414,,,,7,42.0,42.0
939,ID 939,,,,7,42.0,42.0
